METHOD,acc,f1,auc,stat_parity_race,stat_parity_gender,stat_parity_age,equal_opp_race,equal_opp_gender,equal_opp_age,equal_opp_race_gender,acc_race0,acc_race1,acc_race2,acc_gender0,acc_gender1,acc_gender2,acc_age0,acc_age1,acc_age2,acc_age3,acc_age4,acc_race0_gender0,acc_race0_gender1,acc_race0_gender2,acc_race1_gender0,acc_race1_gender1,acc_race1_gender2,acc_race2_gender0,acc_race2_gender1,acc_race2_gender2,acc_race0_age0,acc_race0_age1,acc_race0_age2,acc_race0_age3,acc_race0_age4,acc_race1_age0,acc_race1_age1,acc_race1_age2,acc_race1_age3,acc_race1_age4,acc_race2_age0,acc_race2_age1,acc_race2_age2,acc_race2_age3,acc_race2_age4,acc_gender0_age0,acc_gender0_age1,acc_gender0_age2,acc_gender0_age3,acc_gender0_age4,acc_gender1_age0,acc_gender1_age1,acc_gender1_age2,acc_gender1_age3,acc_gender1_age4,acc_gender2_age0,acc_gender2_age1,acc_gender2_age2,acc_gender2_age3,acc_gender2_age4,acc_race0_gender0_age0,acc_race0_gender0_age1,acc_race0_gender0_age2,acc_race0_gender0_age3,acc_race0_gender0_age4,acc_race0_gender1_age0,acc_race0_gender1_age1,acc_race0_gender1_age2,acc_race0_gender1_age3,acc_race0_gender1_age4,acc_race0_gender2_age0,acc_race0_gender2_age1,acc_race0_gender2_age2,acc_race0_gender2_age3,acc_race0_gender2_age4,acc_race1_gender0_age0,acc_race1_gender0_age1,acc_race1_gender0_age2,acc_race1_gender0_age3,acc_race1_gender0_age4,acc_race1_gender1_age0,acc_race1_gender1_age1,acc_race1_gender1_age2,acc_race1_gender1_age3,acc_race1_gender1_age4,acc_race1_gender2_age0,acc_race1_gender2_age1,acc_race1_gender2_age2,acc_race1_gender2_age3,acc_race1_gender2_age4,acc_race2_gender0_age0,acc_race2_gender0_age1,acc_race2_gender0_age2,acc_race2_gender0_age3,acc_race2_gender0_age4,acc_race2_gender1_age0,acc_race2_gender1_age1,acc_race2_gender1_age2,acc_race2_gender1_age3,acc_race2_gender1_age4,acc_race2_gender2_age0,acc_race2_gender2_age1,acc_race2_gender2_age2,acc_race2_gender2_age3,acc_race2_gender2_age4
baseline_predicttest_files.csv.npz,0.8455019556714471,0.8429679841881897,0.9705973541880764,0.0762707908973143,0.0957318941573011,0.1571044342485653,0.8850028902815762,0.9894050819100452,0.8808385250674509,,0.8460229689493832,0.8675213675213675,0.8322981366459627,0.8310648518815053,0.8512345679012345,0.8894472361809045,0.9088145896656536,0.8497942386831275,0.8369434416365824,0.8386454183266933,0.7865168539325843,0.8328141225337488,0.8504375497215593,0.900763358778626,0.8425925925925926,0.90625,0.8333333333333334,0.8146067415730337,0.8352059925093633,0.8947368421052632,0.9192825112107624,0.8576051779935275,0.8293051359516617,0.8497652582159625,0.855072463768116,0.9074074074074074,0.821917808219178,0.92,0.7666666666666667,1.0,0.8653846153846154,0.8461538461538461,0.8517110266159695,0.782608695652174,0.5,0.9263157894736842,0.8391959798994975,0.8214849921011058,0.8231046931407943,0.7777777777777778,0.896551724137931,0.8676470588235294,0.845703125,0.8571428571428571,0.7857142857142857,0.9034090909090908,0.6666666666666666,1.0,1.0,1.0,0.921875,0.8548387096774194,0.8138613861386138,0.8376068376068376,0.8333333333333334,0.9534883720930232,0.864406779661017,0.838036809815951,0.8638743455497382,0.8709677419354839,0.9051724137931034,0.75,1.0,1.0,1.0,0.9130434782608696,0.8484848484848485,0.875,0.6666666666666666,1.0,1.0,0.8421052631578947,0.9534883720930232,0.9166666666666666,,0.8928571428571429,0.0,,,,1.0,0.7857142857142857,0.84375,0.8,0.4285714285714285,0.6666666666666666,0.8947368421052632,0.8554216867469879,0.7619047619047619,0.5454545454545454,0.90625,0.8,1.0,,
fairness1-race-up_predicttest_files.csv.npz,0.8357235984354628,0.8325231667743467,0.9665147585522312,0.0637574985401072,0.0958480364538544,0.1722927783451033,0.8963235953118865,0.9644133331287096,0.8570870395453075,,0.8328370905997448,0.8547008547008547,0.8405797101449275,0.8078462770216173,0.8518518518518519,0.8793969849246231,0.8936170212765957,0.8477366255144033,0.8273164861612515,0.8247011952191236,0.7752808988764045,0.8037383177570093,0.8488464598249801,0.8931297709923665,0.7870370370370371,0.9270833333333334,0.8666666666666667,0.8426966292134831,0.8389513108614233,0.8421052631578947,0.905829596412556,0.8543689320388349,0.81797583081571,0.8286384976525821,0.8115942028985508,0.8518518518518519,0.821917808219178,0.9066666666666666,0.8,1.0,0.8846153846153846,0.8461538461538461,0.8517110266159695,0.8043478260869565,0.6111111111111112,0.8947368421052632,0.8341708542713567,0.7977883096366508,0.7942238267148014,0.7333333333333333,0.8793103448275862,0.8713235294117647,0.8447265625,0.8616071428571429,0.8095238095238095,0.8977272727272727,0.6,1.0,1.0,1.0,0.921875,0.8548387096774194,0.7801980198019802,0.7991452991452992,0.7777777777777778,0.8837209302325582,0.864406779661017,0.8404907975460123,0.8638743455497382,0.8387096774193549,0.9051724137931034,0.625,1.0,1.0,1.0,0.782608695652174,0.7575757575757576,0.875,0.6666666666666666,1.0,1.0,0.8947368421052632,0.9302325581395348,1.0,,0.8928571428571429,0.5,,,,1.0,0.8333333333333334,0.8645833333333334,0.84,0.4285714285714285,0.8333333333333334,0.8771929824561403,0.8433734939759037,0.7619047619047619,0.7272727272727273,0.875,0.6,1.0,,
fairness1-race-down_predicttest_files.csv.npz,0.7623859191655802,0.7573014010199365,0.9409314452733396,0.069703243616287,0.1016235210390534,0.1412329023257151,0.8904910560731157,0.9436940918478608,0.8463132314447199,,0.7541471714164185,0.8034188034188035,0.782608695652174,0.7421937550040032,0.7746913580246914,0.7889447236180904,0.817629179331307,0.7860082304526749,0.7539109506618532,0.7589641434262948,0.6067415730337079,0.7372793354101765,0.7645186953062848,0.7786259541984732,0.6944444444444444,0.90625,0.8666666666666667,0.797752808988764,0.7752808988764045,0.7631578947368421,0.8026905829596412,0.7928802588996764,0.7371601208459214,0.7676056338028169,0.6666666666666666,0.8888888888888888,0.7534246575342466,0.8666666666666667,0.6333333333333333,0.5,0.8076923076923077,0.7884615384615384,0.8060836501901141,0.7608695652173914,0.3888888888888889,0.8421052631578947,0.8090452261306532,0.7235387045813586,0.7256317689530686,0.6,0.8103448275862069,0.7794117647058824,0.7724609375,0.7991071428571429,0.6190476190476191,0.8068181818181818,0.6,0.8,1.0,0.5,0.8125,0.8467741935483871,0.7049504950495049,0.7393162393162394,0.6666666666666666,0.813953488372093,0.7627118644067796,0.7570552147239263,0.8010471204188482,0.6774193548387096,0.7931034482758621,0.625,0.75,1.0,0.5,0.8695652173913043,0.6363636363636364,0.78125,0.4444444444444444,0.5,1.0,0.868421052631579,0.9302325581395348,0.9166666666666666,,0.8928571428571429,0.5,,,,1.0,0.8333333333333334,0.8020833333333334,0.8,0.2857142857142857,0.75,0.7719298245614035,0.8072289156626506,0.7142857142857143,0.4545454545454545,0.78125,0.6,1.0,,
fairness1-race-mean_predicttest_files.csv.npz,0.8197522816166884,0.8160106278909344,0.9581840498874196,0.0785687742209481,0.0992033132678982,0.1652595394594905,0.9422607597307922,0.9865767367487466,0.901869226825443,,0.8136962994470438,0.8376068376068376,0.8405797101449275,0.799839871897518,0.8302469135802469,0.8592964824120602,0.8844984802431611,0.8580246913580247,0.8020457280385078,0.8167330677290837,0.7191011235955056,0.7964693665628245,0.8249801113762928,0.8320610687022901,0.7685185185185185,0.8958333333333334,0.9,0.8370786516853933,0.8314606741573034,0.9210526315789472,0.8654708520179372,0.86084142394822,0.7900302114803626,0.8309859154929577,0.782608695652174,0.9629629629629628,0.821917808219178,0.8266666666666667,0.6666666666666666,1.0,0.8846153846153846,0.875,0.8555133079847909,0.782608695652174,0.4444444444444444,0.8842105263157894,0.8442211055276382,0.7819905213270142,0.7906137184115524,0.7333333333333333,0.8620689655172413,0.8860294117647058,0.814453125,0.8482142857142857,0.7142857142857143,0.8920454545454546,0.5333333333333333,0.8,1.0,0.5,0.84375,0.8629032258064516,0.7643564356435644,0.8162393162393162,0.8055555555555556,0.9069767441860463,0.8757062146892656,0.8061349693251534,0.8481675392670157,0.7741935483870968,0.8620689655172413,0.5,0.75,1.0,0.5,0.9565217391304348,0.7575757575757576,0.8125,0.4444444444444444,1.0,1.0,0.9210526315789472,0.8372093023255814,1.0,,0.9642857142857144,0.0,,,,1.0,0.8571428571428571,0.8645833333333334,0.8,0.2857142857142857,0.6666666666666666,0.8947368421052632,0.8493975903614458,0.7619047619047619,0.5454545454545454,0.9375,0.8,1.0,,
fairness1-age-up_predicttest_files.csv.npz,0.8380052151238592,0.8358313102467719,0.9653368389932668,0.0686144744362339,0.0975471735413022,0.1686179469846246,0.9155713837020792,0.9999529925692686,0.8571471178388865,,0.8353891960867715,0.8376068376068376,0.8509316770186336,0.8134507606084868,0.8481481481481481,0.9095477386934674,0.917933130699088,0.8621399176954733,0.8140794223826715,0.8625498007968128,0.7191011235955056,0.8120456905503635,0.8440731901352426,0.9236641221374046,0.7962962962962963,0.8854166666666666,0.8333333333333334,0.8314606741573034,0.8539325842696629,0.9210526315789472,0.9282511210762332,0.8867313915857605,0.8036253776435045,0.863849765258216,0.7391304347826086,0.8518518518518519,0.7808219178082192,0.88,0.8333333333333334,1.0,0.9423076923076924,0.8461538461538461,0.8479087452471483,0.8695652173913043,0.6111111111111112,0.9157894736842104,0.8492462311557789,0.7772511848341233,0.855595667870036,0.6888888888888889,0.896551724137931,0.8823529411764706,0.8359375,0.8705357142857143,0.7380952380952381,0.9261363636363636,0.6666666666666666,1.0,1.0,1.0,0.9375,0.8870967741935484,0.7603960396039604,0.8632478632478633,0.7222222222222222,0.9302325581395348,0.8870056497175142,0.8294478527607362,0.8638743455497382,0.7419354838709677,0.9224137931034484,0.875,1.0,1.0,1.0,0.8260869565217391,0.7272727272727273,0.84375,0.7777777777777778,1.0,0.6666666666666666,0.868421052631579,0.9069767441860463,0.9166666666666666,,0.8928571428571429,0.0,,,,1.0,0.8333333333333334,0.84375,0.84,0.4285714285714285,0.8333333333333334,0.8771929824561403,0.8493975903614458,0.9047619047619048,0.7272727272727273,0.96875,0.6,1.0,,
fairness1-age-down_predicttest_files.csv.npz,0.7353324641460235,0.7278496604021715,0.9139220410240496,0.0807718851197112,0.0807885814824699,0.1841227149165072,0.9646211484071644,0.9053713221520076,0.9289254354671952,,0.7333049766056997,0.7692307692307693,0.7287784679089027,0.7269815852682145,0.7432098765432099,0.7236180904522613,0.7993920972644377,0.7757201646090535,0.7111913357400722,0.749003984063745,0.651685393258427,0.7217030114226376,0.7446300715990454,0.7099236641221374,0.7129629629629629,0.84375,0.7333333333333333,0.7640449438202247,0.700374531835206,0.7631578947368421,0.7892376681614349,0.7766990291262136,0.7069486404833837,0.7605633802816901,0.6956521739130435,0.8518518518518519,0.7534246575342466,0.7466666666666667,0.7,1.0,0.7884615384615384,0.7884615384615384,0.7224334600760456,0.6739130434782609,0.4444444444444444,0.8842105263157894,0.7688442211055276,0.6951026856240127,0.7256317689530686,0.6666666666666666,0.8448275862068966,0.7977941176470589,0.720703125,0.7767857142857143,0.6190476190476191,0.7386363636363636,0.4666666666666667,0.8,1.0,1.0,0.859375,0.782258064516129,0.6792079207920793,0.7435897435897436,0.7222222222222222,0.8837209302325582,0.7853107344632768,0.7239263803680982,0.7801047120418848,0.6451612903225806,0.7155172413793104,0.5,0.75,1.0,1.0,0.9130434782608696,0.6666666666666666,0.71875,0.5,1.0,1.0,0.868421052631579,0.7674418604651163,1.0,,0.7857142857142857,0.0,,,,1.0,0.8095238095238095,0.7708333333333334,0.72,0.2857142857142857,0.6666666666666666,0.7894736842105263,0.6927710843373494,0.6190476190476191,0.5454545454545454,0.78125,0.6,1.0,,
fairness1-age-mean_predicttest_files.csv.npz,0.809322033898305,0.8055744646626323,0.9588121641280918,0.0646260729204157,0.0845229269835621,0.1576653674112215,0.8369437367532261,0.9878033263951784,0.9093341809815388,,0.8158230540195661,0.7863247863247863,0.7888198757763976,0.7870296236989591,0.8185185185185185,0.8743718592964824,0.8905775075987842,0.831275720164609,0.7882069795427196,0.8286852589641435,0.6741573033707865,0.7923156801661475,0.8265712012728719,0.8854961832061069,0.7407407407407407,0.8333333333333334,0.8,0.7865168539325843,0.7752808988764045,0.8947368421052632,0.8968609865470852,0.8640776699029126,0.7870090634441088,0.8427230046948356,0.7246376811594203,0.8888888888888888,0.7534246575342466,0.7733333333333333,0.7,1.0,0.8653846153846154,0.7884615384615384,0.7984790874524715,0.782608695652174,0.4444444444444444,0.9052631578947368,0.8291457286432161,0.7598736176935229,0.7978339350180506,0.6666666666666666,0.8448275862068966,0.8455882352941176,0.8056640625,0.8660714285714286,0.6666666666666666,0.8977272727272727,0.6,0.8,1.0,1.0,0.90625,0.8709677419354839,0.7524752475247525,0.8162393162393162,0.7222222222222222,0.8837209302325582,0.864406779661017,0.8085889570552147,0.8743455497382199,0.7096774193548387,0.896551724137931,0.75,0.75,1.0,1.0,0.9130434782608696,0.696969696969697,0.75,0.5555555555555556,1.0,1.0,0.8421052631578947,0.7906976744186046,0.9166666666666666,,0.8571428571428571,0.0,,,,0.875,0.8095238095238095,0.8020833333333334,0.8,0.2857142857142857,0.6666666666666666,0.7894736842105263,0.7951807228915663,0.7619047619047619,0.5454545454545454,0.9375,0.6,1.0,,
fairness1-gender-up_predicttest_files.csv.npz,0.8455019556714471,0.843125240997777,0.96662465436008,0.0676859372511546,0.096581462701025,0.1669183674447816,0.8818513423527411,0.9531890392546652,0.9147783026047815,,0.8443215652913654,0.8589743589743589,0.84472049689441,0.8158526821457166,0.8611111111111112,0.9045226130653268,0.9361702127659576,0.8621399176954733,0.8315282791817088,0.8306772908366534,0.7640449438202247,0.8130841121495327,0.8607796340493238,0.916030534351145,0.8055555555555556,0.9375,0.8,0.8370786516853933,0.8352059925093633,0.9473684210526316,0.937219730941704,0.8770226537216829,0.823262839879154,0.8427230046948356,0.8115942028985508,0.9074074074074074,0.821917808219178,0.9066666666666666,0.7333333333333333,1.0,0.9615384615384616,0.8461538461538461,0.8517110266159695,0.782608695652174,0.5555555555555556,0.9578947368421052,0.8592964824120602,0.7898894154818326,0.8086642599277978,0.7333333333333333,0.913793103448276,0.8823529411764706,0.8564453125,0.8571428571428571,0.7857142857142857,0.9318181818181818,0.5333333333333333,1.0,1.0,1.0,0.953125,0.8790322580645161,0.7722772277227723,0.8333333333333334,0.7777777777777778,0.9302325581395348,0.8870056497175142,0.8539877300613496,0.8534031413612565,0.8387096774193549,0.9310344827586208,0.625,1.0,1.0,1.0,0.9565217391304348,0.7575757575757576,0.875,0.5555555555555556,1.0,1.0,0.9210526315789472,0.9302325581395348,1.0,,0.8571428571428571,0.0,,,,1.0,0.8809523809523809,0.8541666666666666,0.76,0.4285714285714285,0.8333333333333334,0.8421052631578947,0.8493975903614458,0.8095238095238095,0.6363636363636364,1.0,0.6,1.0,,
fairness1-gender-down_predicttest_files.csv.npz,0.7653194263363755,0.7609236137735581,0.9300652434328196,0.0778814882526531,0.0902069803991341,0.1733906731677382,0.8271345426885014,0.9481240574906435,0.9019685321074576,,0.7681837515950659,0.7307692307692307,0.7681159420289855,0.7373899119295436,0.7722222222222223,0.8844221105527639,0.8844984802431611,0.7921810699588477,0.7418772563176895,0.7450199203187251,0.7303370786516854,0.7403946002076843,0.7764518695306285,0.8931297709923665,0.6574074074074074,0.7916666666666666,0.8,0.7696629213483146,0.7453183520599251,0.9210526315789472,0.8789237668161435,0.8220064724919094,0.7356495468277946,0.7723004694835681,0.7681159420289855,0.8703703703703703,0.726027397260274,0.7066666666666667,0.5666666666666667,0.5,0.9230769230769232,0.75,0.7832699619771863,0.6086956521739131,0.6111111111111112,0.8947368421052632,0.7889447236180904,0.7156398104265402,0.7003610108303249,0.7111111111111111,0.8275862068965517,0.8014705882352942,0.7568359375,0.7991071428571429,0.7380952380952381,0.8977272727272727,0.6666666666666666,1.0,1.0,1.0,0.890625,0.8064516129032258,0.7049504950495049,0.7393162393162394,0.75,0.8372093023255814,0.8305084745762712,0.7533742331288343,0.8115183246073299,0.7741935483870968,0.8879310344827587,0.875,1.0,1.0,1.0,0.8695652173913043,0.696969696969697,0.65625,0.3333333333333333,0.5,1.0,0.7894736842105263,0.7441860465116279,0.9166666666666666,,0.8571428571428571,0.0,,,,1.0,0.8095238095238095,0.7916666666666666,0.6,0.5714285714285714,0.75,0.7192982456140351,0.7771084337349398,0.6190476190476191,0.6363636363636364,0.96875,0.6,1.0,,
fairness1-gender-mean_predicttest_files.csv.npz,0.8327900912646675,0.8310324180319425,0.9651640417467274,0.0692397314741183,0.1036893712500864,0.1676662783283232,0.8698498393050471,0.9518670712419866,0.8793732382512782,,0.8332624415142492,0.8589743589743589,0.8178053830227743,0.822257806244996,0.837037037037037,0.864321608040201,0.8844984802431611,0.8477366255144033,0.8116726835138387,0.8645418326693227,0.7752808988764045,0.8245067497403946,0.837708830548926,0.8549618320610687,0.8148148148148148,0.8958333333333334,0.9,0.8146067415730337,0.8127340823970037,0.868421052631579,0.8834080717488789,0.8511326860841424,0.8058912386706949,0.8755868544600939,0.855072463768116,0.8888888888888888,0.8493150684931506,0.8666666666666667,0.8,1.0,0.8846153846153846,0.8365384615384616,0.8250950570342205,0.8043478260869565,0.4444444444444444,0.9052631578947368,0.8542713567839196,0.7883096366508688,0.855595667870036,0.7777777777777778,0.8620689655172413,0.8566176470588235,0.8251953125,0.875,0.7619047619047619,0.8806818181818182,0.6,1.0,1.0,1.0,0.921875,0.8709677419354839,0.7782178217821782,0.8675213675213675,0.8611111111111112,0.8837209302325582,0.847457627118644,0.8220858895705522,0.8848167539267016,0.8387096774193549,0.8620689655172413,0.625,1.0,1.0,1.0,0.8260869565217391,0.8181818181818182,0.84375,0.7222222222222222,1.0,1.0,0.8947368421052632,0.8837209302325582,0.9166666666666666,,0.9285714285714286,0.5,,,,1.0,0.8333333333333334,0.8229166666666666,0.84,0.2857142857142857,0.75,0.8596491228070176,0.8253012048192772,0.7619047619047619,0.5454545454545454,0.90625,0.6,1.0,,
fairness3-attraware_predicttest_files.csv.npz,0.8591916558018253,0.8579051599830287,0.9730552661004828,0.0802424940534533,0.0997840247506647,0.1673738259956563,0.8739962159489612,0.9944406651982228,0.8643282788844304,,0.8570820927264994,0.8931623931623932,0.8530020703933747,0.8414731785428343,0.8648148148148148,0.9246231155778896,0.9361702127659576,0.8744855967078189,0.8447653429602888,0.8645418326693227,0.7303370786516854,0.8400830737279336,0.862370723945903,0.931297709923664,0.8518518518518519,0.9479166666666666,0.8666666666666667,0.8426966292134831,0.846441947565543,0.9473684210526316,0.9327354260089686,0.8705501618122977,0.8391238670694864,0.8755868544600939,0.782608695652174,0.9444444444444444,0.863013698630137,0.92,0.8,1.0,0.9423076923076924,0.8942307692307693,0.8517110266159695,0.8043478260869565,0.5,0.9578947368421052,0.864321608040201,0.8214849921011058,0.851985559566787,0.7111111111111111,0.896551724137931,0.8897058823529411,0.8583984375,0.8794642857142857,0.7380952380952381,0.9375,0.7333333333333333,1.0,1.0,1.0,0.953125,0.8629032258064516,0.8138613861386138,0.8675213675213675,0.75,0.9069767441860463,0.8757062146892656,0.8539877300613496,0.8848167539267016,0.8064516129032258,0.9310344827586208,0.875,1.0,1.0,1.0,0.9565217391304348,0.8181818181818182,0.875,0.7222222222222222,1.0,1.0,0.9473684210526316,0.9534883720930232,0.9166666666666666,,0.9285714285714286,0.0,,,,1.0,0.9047619047619048,0.84375,0.8,0.4285714285714285,0.8333333333333334,0.8947368421052632,0.8554216867469879,0.8095238095238095,0.5454545454545454,0.96875,0.8,1.0,,
fairness2-103_predicttest_files.csv.npz,0.8432203389830508,0.8419613126420605,0.9687137921246636,0.0654679344413592,0.1000528818116221,0.1682679630455314,0.9610943188622828,0.9872330378869764,0.8795721067357087,,0.8409187579753297,0.8504273504273504,0.8509316770186336,0.8142514011208967,0.8592592592592593,0.8944723618090452,0.9088145896656536,0.8580246913580247,0.8363417569193743,0.8266932270916335,0.7415730337078652,0.8089304257528557,0.858392999204455,0.9083969465648856,0.8148148148148148,0.8958333333333334,0.8333333333333334,0.8426966292134831,0.850187265917603,0.8947368421052632,0.9192825112107624,0.8673139158576052,0.8277945619335347,0.8333333333333334,0.7681159420289855,0.8888888888888888,0.8082191780821918,0.88,0.8,1.0,0.8846153846153846,0.8653846153846154,0.8669201520912547,0.782608695652174,0.6111111111111112,0.9263157894736842,0.864321608040201,0.7914691943127962,0.8050541516245487,0.7333333333333333,0.8793103448275862,0.8639705882352942,0.86328125,0.8526785714285714,0.7380952380952381,0.9090909090909092,0.6666666666666666,1.0,1.0,1.0,0.9375,0.8709677419354839,0.7801980198019802,0.8076923076923077,0.7777777777777778,0.9069767441860463,0.8700564971751412,0.8564417177914111,0.8638743455497382,0.7419354838709677,0.913793103448276,0.75,1.0,1.0,1.0,0.8695652173913043,0.7878787878787878,0.84375,0.7222222222222222,1.0,1.0,0.868421052631579,0.9069767441860463,0.9166666666666666,,0.8928571428571429,0.0,,,,1.0,0.9047619047619048,0.8333333333333334,0.84,0.4285714285714285,0.75,0.8421052631578947,0.8855421686746988,0.7142857142857143,0.7272727272727273,0.90625,0.8,1.0,,
fairness2-213_predicttest_files.csv.npz,0.8455019556714471,0.8440190912607796,0.9699274953819038,0.07217178956309392,0.09086083681760226,0.16951208403449974,0.9259271331032856,0.9859993102911295,0.923334044993574,,0.8455976180348788,0.8760683760683761,0.8302277432712215,0.8270616493194556,0.8555555555555555,0.8793969849246231,0.9118541033434651,0.8621399176954733,0.8291215403128761,0.8565737051792829,0.7528089887640449,0.822429906542056,0.8599840891010342,0.8778625954198473,0.8703703703703703,0.8958333333333334,0.8333333333333334,0.8258426966292135,0.8202247191011236,0.9210526315789473,0.9013452914798207,0.8802588996763754,0.823262839879154,0.8661971830985915,0.8115942028985508,0.9259259259259259,0.821917808219178,0.9066666666666666,0.8333333333333334,1.0,0.9423076923076923,0.8365384615384616,0.8365019011406845,0.782608695652174,0.5,0.9473684210526315,0.8492462311557789,0.7962085308056872,0.8483754512635379,0.7777777777777778,0.9137931034482759,0.8823529411764706,0.8486328125,0.8660714285714286,0.7142857142857143,0.8920454545454546,0.6666666666666666,1.0,1.0,1.0,0.9375,0.8467741935483871,0.7821782178217822,0.8632478632478633,0.8333333333333334,0.9302325581395349,0.903954802259887,0.8478527607361963,0.8691099476439791,0.7741935483870968,0.8706896551724138,0.875,1.0,1.0,1.0,0.9565217391304348,0.8484848484848485,0.875,0.7777777777777778,1.0,1.0,0.8421052631578947,0.9302325581395349,0.9166666666666666,,0.8928571428571429,0.0,,,,1.0,0.8571428571428571,0.84375,0.76,0.42857142857142855,0.8333333333333334,0.8421052631578947,0.8313253012048193,0.8095238095238095,0.5454545454545454,0.96875,0.6,1.0,,
